Name,Id,Brief,Min,Availability,Link
24 MW Bhilangana - III Hydro Power Project,2936,"Bhilangana - III (B-III) is a run-of-the-river 24 MW (consisting 3 units of 8 MW each) Hydro Power Project located at Village Ghuttu, Tehsil Ghansali, District Tehri, Uttarakhand State, India. The project activity contemplates utilization of water of Bhilangana River, a tributary of the river Bhagirathi, for setting up an…",USD 1.75,218,https://offset.climateneutralnow.org/24-mw-bhilangana-iii-hydro-power-project-2936-?searchResultsLink=%2FAllProjects%3FContinentId%3D261%26CountryId%3D335
,,,,,
"IOT Mabagas Limited power plant, Pudhuchatram",8288,"This Gold Standard project, located in Namakkal, India, converts up to 120,000 tons/year of chicken litter and other industrial residues into renewable electricity. The project activity mitigates environmental and hygienic problems as well as supports regional smallholders to implement sustainable agriculture.",USD 6.95,64,https://offset.climateneutralnow.org/iot-mabagas-limited-power-plant-pudhuchatram-8288-?searchResultsLink=%2FAllProjects%3FContinentId%3D261%26CountryId%3D335
,,,,,
24 MW Bhilangana - III Hydro Power Project,2936,"Bhilangana - III (B-III) is a run-of-the-river 24 MW (consisting 3 units of 8 MW each) Hydro Power Project located at Village Ghuttu, Tehsil Ghansali, District Tehri, Uttarakhand State, India. The project activity contemplates utilization of water of Bhilangana River, a tributary of the river Bhagirathi, for setting up an…",USD 1.75,218,https://offset.climateneutralnow.org/24-mw-bhilangana-iii-hydro-power-project-2936-?searchResultsLink=%2FAllProjects%3FContinentId%3D261%26CountryId%3D335
,,,,,
5 MW Solar Power Project by Baba Group,10360,"The purpose of the project activity is to utilize renewable solar energy for generation of electricity. Dharampal Premchand Ltd. are the promoters of the project which involves the installation of 5 MWp Solar PV power project at village Gaon Talab, Tehsil Ichawar, district Sehore, Madhya Pradesh, India. The project activit…",USD 2.75,12452,https://offset.climateneutralnow.org/5-mw-solar-power-project-by-baba-group?searchResultsLink=%2FAllProjects%3FContinentId%3D261%26CountryId%3D335
,,,,,
Solar Water Heater Program in India,8855,"This Gold Standard certified programme distributes solar water heaters (SWH). The project manager is Nuetech Solar, one of the largest manufacturers of SWH in India. The distribution of SWH requires constant awareness raising campaigns and the education of people, who often do not trust on non-electric solutions.",USD 12.95,177,https://offset.climateneutralnow.org/solar-water-heater-program-in-india?searchResultsLink=%2FAllProjects%3FContinentId%3D261%26CountryId%3D335
,,,,,
7 MW Bundled Hydro power project at Himachal Pradesh o…,9111,The project activity involves generation of electricity by using the available hydro potential in the tributaries of the Ravi River and exporting the generated electricity to the Himachal Pradesh State Electricity Board (HPSEB).,USD 2.20,40,https://offset.climateneutralnow.org/7-mw-bundled-hydro-power-project-at-himachal-pradesh-of-raajratna-energy-holdings-pvt-ltd-9111-?searchResultsLink=%2FAllProjects%3FContinentId%3D261%26CountryId%3D335
,,,,,
Wind Power Project by Tirupati Microtech Pvt. Ltd. (EK…,9347,The project activity is promoted by Tirupati Microtech Private Limited and it uses renewable energy (wind) as a clean fuel to generate electrical energy. The total installed capacity of the project is 3.95 MW.,USD 5.00,3370,https://offset.climateneutralnow.org/wind-power-project-by-tirupati-microtech-pvt-ltd-eki-cdmjune-11-02-9347-?searchResultsLink=%2FAllProjects%3FContinentId%3D261%26CountryId%3D335
